,State,City,Population,Violent crime,Property crime,Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants",Assault Risk (County),Total Crime Risk (County),Student Teacher Ratio,Percent of High School Graduate or Higher,year
198,California,Fresno,520837,1613,10334,0,309.69,0.02,1984.11,136.0,126.0,30.0,76.0,2017
199,Arizona,Tucson,529675,1988,15773,0,375.32,0.03,2977.86,124.0,144.0,8.0,84.8,2017
200,New Mexico,Albuquerque,559721,2897,17888,0.01,517.58,0.03,3195.88,248.0,207.0,10.5,89.5,2017
201,Wisconsin,Milwaukee,"600,400","4,427","11,359",0.01,737.34,0.02,1891.91,88.0,165.0,23.5,83.0,2017
202,Oklahoma,Oklahoma City,"630,621","2,462","12,436",0,390.41,0.02,1972.02,184.0,227.0,14.0,85.6,2017
203,Tennessee,Memphis,"657,936","5,733","16,833",0.01,871.36,0.03,2558.46,256.0,238.0,17.666666666666668,84.5,2017
204,Michigan,Detroit,673225,5409,13442,0.01,803.45,0.02,1996.66,224.0,188.0,17.5,79.7,2017
205,Colorado,Denver,682418,2126,12336,0,311.54,0.02,1807.69,110.0,170.0,20.0,86.7,2017
206,Washington,Seattle,"683,700","2,058","19,148",0,301.01,0.03,2800.64,59.0,127.0,16.0,94.2,2017
207,Texas,El Paso,"686,077","1,337","5,950",0,194.88,0.01,867.25,118.0,98.0,14.0,79.0,2017
208,Ohio,Columbus,847745,2124,16668,0,250.55,0.02,1966.16,64.0,192.0,17.666666666666668,89.1,2017
209,California,San Francisco,863782,2987,22833,0,345.8,0.03,2643.38,115.0,136.0,13.0,87.9,2017
210,Florida,Jacksonville,867258,2758,15340,0,318.01,0.02,1768.79,239.0,189.0,26.0,89.0,2017
211,Texas,Austin,"938,728","1,958","16,933",0,208.58,0.02,1803.82,84.0,120.0,10.0,88.5,2017
212,Texas,Dallas,"1,301,977","4,772","22,059",0,366.52,0.02,1694.27,154.0,181.0,14.666666666666666,75.9,2017
213,Texas,San Antonio,"1,463,586","5,111","36,630",0,349.21,0.03,2502.76,54.0,130.0,10.666666666666666,82.0,2017
214,Texas,Houston,"2,275,221","11,578","49,299",0.01,508.87,0.02,2166.78,159.0,176.0,17.0,77.9,2017
215,Illinois,Chicago,2728695,13729,39151,0.01,503.13,0.01,1434.79,204.0,159.0,11.0,83.8,2017
216,California,Los Angeles,3962726,13724,48427,0,346.33,0.01,1222.06,161.0,125.0,24.5,76.4,2017
217,New York,New York,8550861,23543,59928,0,275.33,0.01,700.84,141.0,105.0,18.5,81.1,2017
